id,text,language,emotion,stress_level,stress_score
12366,मुझे अपने एग्जाम की चिंता है #2365,Hindi,joy,medium,6
12367,मुझे बहुत दबाव महसूस हो रहा है #2366,Hindi,surprise,high,7
12368,मैं अपने भविष्य को लेकर चिंतित हूँ #2367,Hindi,surprise,medium,4
12369,मुझे बहुत तनाव हो रहा है #2368,Hindi,surprise,low,2
12370,इस खबर से मैं चौंक गया #2369,Hindi,joy,low,1
12371,मुझे बहुत तनाव हो रहा है #2370,Hindi,sadness,medium,4
12372,मुझे बहुत तनाव हो रहा है #2371,Hindi,joy,low,0
12373,इस खबर से मैं चौंक गया #2372,Hindi,surprise,high,9
12374,मैं अपने काम से परेशान हूँ #2373,Hindi,fear,low,2
12375,मैं आज बहुत शांत महसूस कर रहा हूँ #2374,Hindi,joy,low,3
12376,मैं आज बहुत अकेला महसूस कर रहा हूँ #2375,Hindi,neutral,high,8
12377,मैं अपने भविष्य को लेकर चिंतित हूँ #2376,Hindi,sadness,medium,4
12378,मुझे बहुत गुस्सा आ रहा है #2377,Hindi,anger,high,8
12379,मुझे आज बहुत खुशी हो रही है #2378,Hindi,fear,low,3
12380,मुझे अपने एग्जाम की चिंता है #2379,Hindi,neutral,medium,4
12381,मैं आज बहुत अकेला महसूस कर रहा हूँ #2380,Hindi,stress,low,3
12382,मुझे आज बहुत खुशी हो रही है #2381,Hindi,joy,high,7
12383,मैं आज बहुत शांत महसूस कर रहा हूँ #2382,Hindi,joy,high,8
12384,मुझे आज बहुत खुशी हो रही है #2383,Hindi,fear,medium,6
12385,मुझे आज बहुत खुशी हो रही है #2384,Hindi,neutral,medium,6
12386,आज मुझे बहुत शांति महसूस हो रही है #2385,Hindi,joy,low,1
12387,मुझे आज बहुत खुशी हो रही है #2386,Hindi,joy,medium,6
12388,आज मुझे बहुत शांति महसूस हो रही है #2387,Hindi,fear,low,2
12389,मुझे बहुत दबाव महसूस हो रहा है #2388,Hindi,fear,medium,6
12390,मुझे बहुत दबाव महसूस हो रहा है #2389,Hindi,stress,high,9
12391,मुझे बहुत तनाव हो रहा है #2390,Hindi,neutral,high,7
12392,आज मुझे बहुत शांति महसूस हो रही है #2391,Hindi,joy,low,0
12393,मैं कल के लिए उत्साहित हूँ #2392,Hindi,joy,low,0
12394,मुझे बहुत तनाव हो रहा है #2393,Hindi,stress,high,10
12395,मैं कल के लिए उत्साहित हूँ #2394,Hindi,surprise,medium,6
12396,मुझे बहुत गुस्सा आ रहा है #2395,Hindi,sadness,low,1
12397,मैं अपने काम से परेशान हूँ #2396,Hindi,sadness,high,8
12398,मुझे बहुत तनाव हो रहा है #2397,Hindi,anger,medium,5
12399,मैं अपने काम से परेशान हूँ #2398,Hindi,stress,high,10
12400,मैं अपने भविष्य को लेकर चिंतित हूँ #2399,Hindi,joy,low,3
12401,मैं कल के लिए उत्साहित हूँ #2400,Hindi,fear,medium,5
12402,मुझे बहुत तनाव हो रहा है #2401,Hindi,surprise,medium,4
12403,मुझे आज बहुत खुशी हो रही है #2402,Hindi,joy,medium,5
12404,मुझे बहुत गुस्सा आ रहा है #2403,Hindi,anger,medium,6
12405,मैं आज बहुत शांत महसूस कर रहा हूँ #2404,Hindi,fear,low,2
12406,मैं अपने भविष्य को लेकर चिंतित हूँ #2405,Hindi,sadness,high,8
12407,मुझे बहुत दबाव महसूस हो रहा है #2406,Hindi,sadness,high,10
12408,आज मुझे बहुत शांति महसूस हो रही है #2407,Hindi,sadness,high,8
12409,मैं अपने भविष्य को लेकर चिंतित हूँ #2408,Hindi,sadness,medium,6
12410,मुझे बहुत गुस्सा आ रहा है #2409,Hindi,anger,medium,6
12411,इस खबर से मैं चौंक गया #2410,Hindi,sadness,low,2
12412,मैं कल के लिए उत्साहित हूँ #2411,Hindi,anger,high,9
12413,मुझे अपने एग्जाम की चिंता है #2412,Hindi,joy,low,1
12414,आज मुझे बहुत शांति महसूस हो रही है #2413,Hindi,fear,low,0
12415,मैं आज बहुत अकेला महसूस कर रहा हूँ #2414,Hindi,joy,low,0
12416,मुझे बहुत गुस्सा आ रहा है #2415,Hindi,fear,low,0
12417,मैं आज बहुत शांत महसूस कर रहा हूँ #2416,Hindi,surprise,high,9
12418,मैं कल के लिए उत्साहित हूँ #2417,Hindi,sadness,high,7
12419,मैं आज बहुत अकेला महसूस कर रहा हूँ #2418,Hindi,neutral,high,10
12420,मैं अपने काम से परेशान हूँ #2419,Hindi,sadness,medium,4
12421,इस खबर से मैं चौंक गया #2420,Hindi,surprise,medium,4
12422,मुझे अपने एग्जाम की चिंता है #2421,Hindi,stress,high,8
12423,इस खबर से मैं चौंक गया #2422,Hindi,neutral,low,3
12424,मुझे बहुत दबाव महसूस हो रहा है #2423,Hindi,sadness,high,10
12425,मुझे बहुत गुस्सा आ रहा है #2424,Hindi,neutral,low,2
12426,इस खबर से मैं चौंक गया #2425,Hindi,sadness,low,2
12427,मुझे आज बहुत खुशी हो रही है #2426,Hindi,anger,medium,6
12428,मैं अपने काम से परेशान हूँ #2427,Hindi,stress,low,2
12429,मैं आज बहुत शांत महसूस कर रहा हूँ #2428,Hindi,surprise,medium,4
12430,मैं आज बहुत शांत महसूस कर रहा हूँ #2429,Hindi,anger,low,2
12431,मुझे बहुत दबाव महसूस हो रहा है #2430,Hindi,sadness,low,2
12432,मुझे बहुत गुस्सा आ रहा है #2431,Hindi,sadness,high,8
12433,मैं कल के लिए उत्साहित हूँ #2432,Hindi,neutral,medium,6
12434,मैं आज बहुत अकेला महसूस कर रहा हूँ #2433,Hindi,sadness,high,9
12435,इस खबर से मैं चौंक गया #2434,Hindi,joy,medium,4
12436,मुझे आज बहुत खुशी हो रही है #2435,Hindi,neutral,low,2
12437,मैं अपने काम से परेशान हूँ #2436,Hindi,anger,medium,5
12438,मुझे अपने एग्जाम की चिंता है #2437,Hindi,joy,medium,4
12439,इस खबर से मैं चौंक गया #2438,Hindi,sadness,high,7
12440,मैं अपने काम से परेशान हूँ #2439,Hindi,fear,low,0
12441,मुझे बहुत गुस्सा आ रहा है #2440,Hindi,stress,medium,5
12442,मुझे बहुत दबाव महसूस हो रहा है #2441,Hindi,joy,medium,6
12443,मैं आज बहुत अकेला महसूस कर रहा हूँ #2442,Hindi,sadness,low,0
12444,मैं आज बहुत अकेला महसूस कर रहा हूँ #2443,Hindi,neutral,medium,4
12445,मैं अपने काम से परेशान हूँ #2444,Hindi,sadness,high,9
12446,मुझे अपने एग्जाम की चिंता है #2445,Hindi,anger,medium,6
12447,मुझे आज बहुत खुशी हो रही है #2446,Hindi,stress,low,2
12448,मैं अपने काम से परेशान हूँ #2447,Hindi,anger,medium,6
12449,मुझे आज बहुत खुशी हो रही है #2448,Hindi,joy,low,3
12450,मुझे आज बहुत खुशी हो रही है #2449,Hindi,anger,low,0
12451,मुझे बहुत गुस्सा आ रहा है #2450,Hindi,sadness,low,3
12452,मुझे बहुत दबाव महसूस हो रहा है #2451,Hindi,stress,low,2
12453,मैं अपने भविष्य को लेकर चिंतित हूँ #2452,Hindi,sadness,low,3
12454,मुझे बहुत दबाव महसूस हो रहा है #2453,Hindi,neutral,low,1
12455,मुझे आज बहुत खुशी हो रही है #2454,Hindi,sadness,low,2
12456,मुझे बहुत दबाव महसूस हो रहा है #2455,Hindi,sadness,low,1
12457,मैं कल के लिए उत्साहित हूँ #2456,Hindi,neutral,high,8
12458,मैं अपने भविष्य को लेकर चिंतित हूँ #2457,Hindi,sadness,low,3
12459,मैं कल के लिए उत्साहित हूँ #2458,Hindi,sadness,low,3
12460,मुझे बहुत दबाव महसूस हो रहा है #2459,Hindi,fear,high,9
12461,मुझे अपने एग्जाम की चिंता है #2460,Hindi,fear,low,3
12462,इस खबर से मैं चौंक गया #2461,Hindi,stress,low,3
12463,मुझे बहुत दबाव महसूस हो रहा है #2462,Hindi,anger,high,9
12464,आज मुझे बहुत शांति महसूस हो रही है #2463,Hindi,sadness,low,0
12465,मुझे अपने एग्जाम की चिंता है #2464,Hindi,stress,low,0
12466,मुझे बहुत गुस्सा आ रहा है #2465,Hindi,joy,low,0
12467,मैं आज बहुत अकेला महसूस कर रहा हूँ #2466,Hindi,joy,low,1
12468,आज मुझे बहुत शांति महसूस हो रही है #2467,Hindi,fear,low,1
12469,मुझे बहुत गुस्सा आ रहा है #2468,Hindi,surprise,high,8
12470,मैं आज बहुत अकेला महसूस कर रहा हूँ #2469,Hindi,stress,low,0
12471,मुझे आज बहुत खुशी हो रही है #2470,Hindi,neutral,medium,4
12472,मुझे अपने एग्जाम की चिंता है #2471,Hindi,fear,low,0
12473,मुझे बहुत गुस्सा आ रहा है #2472,Hindi,stress,high,8
12474,मुझे अपने एग्जाम की चिंता है #2473,Hindi,sadness,medium,6
12475,आज मुझे बहुत शांति महसूस हो रही है #2474,Hindi,sadness,high,7
12476,मुझे अपने एग्जाम की चिंता है #2475,Hindi,joy,low,0
12477,मुझे बहुत तनाव हो रहा है #2476,Hindi,sadness,medium,5
12478,आज मुझे बहुत शांति महसूस हो रही है #2477,Hindi,stress,low,2
12479,मुझे बहुत तनाव हो रहा है #2478,Hindi,surprise,high,8
12480,मैं कल के लिए उत्साहित हूँ #2479,Hindi,anger,high,9
12481,इस खबर से मैं चौंक गया #2480,Hindi,surprise,high,8
12482,मैं कल के लिए उत्साहित हूँ #2481,Hindi,surprise,high,8
12483,मुझे अपने एग्जाम की चिंता है #2482,Hindi,fear,high,8
12484,मैं अपने भविष्य को लेकर चिंतित हूँ #2483,Hindi,surprise,high,7
12485,इस खबर से मैं चौंक गया #2484,Hindi,anger,low,2
12486,मैं कल के लिए उत्साहित हूँ #2485,Hindi,stress,high,10
12487,मुझे बहुत दबाव महसूस हो रहा है #2486,Hindi,anger,high,8
12488,मैं आज बहुत अकेला महसूस कर रहा हूँ #2487,Hindi,neutral,low,3
12489,मुझे आज बहुत खुशी हो रही है #2488,Hindi,surprise,low,0
12490,मुझे अपने एग्जाम की चिंता है #2489,Hindi,sadness,high,7
12491,मैं आज बहुत अकेला महसूस कर रहा हूँ #2490,Hindi,surprise,high,10
12492,मुझे बहुत गुस्सा आ रहा है #2491,Hindi,stress,medium,5
12493,मुझे आज बहुत खुशी हो रही है #2492,Hindi,anger,low,0
12494,मुझे आज बहुत खुशी हो रही है #2493,Hindi,fear,high,8
12495,मैं आज बहुत शांत महसूस कर रहा हूँ #2494,Hindi,sadness,high,7
12496,मुझे अपने एग्जाम की चिंता है #2495,Hindi,joy,high,7
12497,मुझे अपने एग्जाम की चिंता है #2496,Hindi,surprise,medium,6
12498,मैं कल के लिए उत्साहित हूँ #2497,Hindi,sadness,high,9
12499,मैं अपने काम से परेशान हूँ #2498,Hindi,stress,low,0
12500,मुझे बहुत तनाव हो रहा है #2499,Hindi,stress,high,8
12501,मुझे बहुत दबाव महसूस हो रहा है #2500,Hindi,fear,low,1
12502,मैं आज बहुत अकेला महसूस कर रहा हूँ #2501,Hindi,stress,low,3
12503,मुझे अपने एग्जाम की चिंता है #2502,Hindi,surprise,high,7
12504,मुझे आज बहुत खुशी हो रही है #2503,Hindi,neutral,low,1
12505,मैं आज बहुत अकेला महसूस कर रहा हूँ #2504,Hindi,surprise,low,3
12506,मैं आज बहुत शांत महसूस कर रहा हूँ #2505,Hindi,fear,medium,5
12507,मुझे बहुत गुस्सा आ रहा है #2506,Hindi,joy,high,8
12508,इस खबर से मैं चौंक गया #2507,Hindi,surprise,low,0
12509,मुझे बहुत दबाव महसूस हो रहा है #2508,Hindi,joy,low,2
12510,मुझे बहुत तनाव हो रहा है #2509,Hindi,joy,high,8
12511,मुझे अपने एग्जाम की चिंता है #2510,Hindi,neutral,low,1
12512,मैं आज बहुत शांत महसूस कर रहा हूँ #2511,Hindi,joy,low,0
12513,मुझे अपने एग्जाम की चिंता है #2512,Hindi,joy,low,0
12514,मुझे बहुत तनाव हो रहा है #2513,Hindi,joy,low,0
12515,मुझे बहुत गुस्सा आ रहा है #2514,Hindi,sadness,high,10
12516,मैं कल के लिए उत्साहित हूँ #2515,Hindi,joy,medium,6
12517,मैं आज बहुत अकेला महसूस कर रहा हूँ #2516,Hindi,joy,medium,5
12518,मुझे बहुत गुस्सा आ रहा है #2517,Hindi,fear,medium,6
12519,मुझे बहुत गुस्सा आ रहा है #2518,Hindi,fear,medium,5
12520,मैं आज बहुत अकेला महसूस कर रहा हूँ #2519,Hindi,surprise,low,2
12521,मुझे बहुत दबाव महसूस हो रहा है #2520,Hindi,surprise,medium,6
12522,मैं अपने काम से परेशान हूँ #2521,Hindi,neutral,medium,5
12523,मुझे बहुत गुस्सा आ रहा है #2522,Hindi,fear,low,0
12524,आज मुझे बहुत शांति महसूस हो रही है #2523,Hindi,fear,low,0
12525,मुझे बहुत गुस्सा आ रहा है #2524,Hindi,anger,high,9
12526,मैं कल के लिए उत्साहित हूँ #2525,Hindi,joy,low,2
12527,मुझे बहुत तनाव हो रहा है #2526,Hindi,surprise,low,0
12528,मुझे बहुत तनाव हो रहा है #2527,Hindi,surprise,low,2
12529,मैं कल के लिए उत्साहित हूँ #2528,Hindi,joy,high,10
12530,मुझे आज बहुत खुशी हो रही है #2529,Hindi,anger,low,1
12531,मैं आज बहुत शांत महसूस कर रहा हूँ #2530,Hindi,sadness,low,0
12532,मुझे आज बहुत खुशी हो रही है #2531,Hindi,joy,low,0
12533,मैं कल के लिए उत्साहित हूँ #2532,Hindi,joy,low,2
12534,मैं आज बहुत अकेला महसूस कर रहा हूँ #2533,Hindi,sadness,high,9
12535,इस खबर से मैं चौंक गया #2534,Hindi,joy,low,3
12536,मुझे बहुत दबाव महसूस हो रहा है #2535,Hindi,neutral,medium,4
12537,मैं आज बहुत अकेला महसूस कर रहा हूँ #2536,Hindi,sadness,high,8
12538,मुझे अपने एग्जाम की चिंता है #2537,Hindi,neutral,medium,4
12539,मैं अपने भविष्य को लेकर चिंतित हूँ #2538,Hindi,stress,low,2
12540,मुझे बहुत तनाव हो रहा है #2539,Hindi,stress,medium,4
12541,मुझे आज बहुत खुशी हो रही है #2540,Hindi,joy,high,8
12542,मैं आज बहुत शांत महसूस कर रहा हूँ #2541,Hindi,fear,medium,6
12543,मुझे आज बहुत खुशी हो रही है #2542,Hindi,fear,low,0
12544,मुझे बहुत तनाव हो रहा है #2543,Hindi,joy,medium,6
12545,मैं अपने काम से परेशान हूँ #2544,Hindi,fear,high,9
12546,मुझे बहुत गुस्सा आ रहा है #2545,Hindi,neutral,low,0
12547,मैं आज बहुत शांत महसूस कर रहा हूँ #2546,Hindi,surprise,low,2
12548,मुझे आज बहुत खुशी हो रही है #2547,Hindi,surprise,low,0
12549,मुझे आज बहुत खुशी हो रही है #2548,Hindi,joy,low,0
12550,मैं अपने भविष्य को लेकर चिंतित हूँ #2549,Hindi,fear,low,1
12551,इस खबर से मैं चौंक गया #2550,Hindi,neutral,medium,4
12552,मुझे बहुत तनाव हो रहा है #2551,Hindi,surprise,low,0
12553,मैं आज बहुत अकेला महसूस कर रहा हूँ #2552,Hindi,neutral,low,3
12554,मुझे अपने एग्जाम की चिंता है #2553,Hindi,fear,low,0
12555,मुझे आज बहुत खुशी हो रही है #2554,Hindi,sadness,medium,6
12556,मुझे बहुत दबाव महसूस हो रहा है #2555,Hindi,stress,high,9
12557,मुझे बहुत दबाव महसूस हो रहा है #2556,Hindi,surprise,high,8
12558,मैं अपने भविष्य को लेकर चिंतित हूँ #2557,Hindi,fear,high,7
12559,मैं कल के लिए उत्साहित हूँ #2558,Hindi,neutral,high,9
12560,मुझे बहुत तनाव हो रहा है #2559,Hindi,sadness,low,1
12561,आज मुझे बहुत शांति महसूस हो रही है #2560,Hindi,fear,medium,5
12562,मैं आज बहुत अकेला महसूस कर रहा हूँ #2561,Hindi,sadness,low,2
12563,मैं अपने भविष्य को लेकर चिंतित हूँ #2562,Hindi,neutral,medium,6
12564,आज मुझे बहुत शांति महसूस हो रही है #2563,Hindi,sadness,low,3
12565,इस खबर से मैं चौंक गया #2564,Hindi,neutral,high,7
12566,मुझे बहुत गुस्सा आ रहा है #2565,Hindi,neutral,low,0
12567,इस खबर से मैं चौंक गया #2566,Hindi,sadness,high,9
12568,मैं आज बहुत शांत महसूस कर रहा हूँ #2567,Hindi,neutral,high,7
12569,मैं आज बहुत अकेला महसूस कर रहा हूँ #2568,Hindi,joy,high,8
12570,मुझे बहुत दबाव महसूस हो रहा है #2569,Hindi,fear,low,1
12571,मैं आज बहुत अकेला महसूस कर रहा हूँ #2570,Hindi,sadness,low,3
12572,मैं अपने भविष्य को लेकर चिंतित हूँ #2571,Hindi,joy,low,1
12573,आज मुझे बहुत शांति महसूस हो रही है #2572,Hindi,surprise,high,9
12574,मैं आज बहुत शांत महसूस कर रहा हूँ #2573,Hindi,fear,medium,5
12575,मैं आज बहुत शांत महसूस कर रहा हूँ #2574,Hindi,sadness,high,8
12576,इस खबर से मैं चौंक गया #2575,Hindi,neutral,high,8
12577,मैं अपने काम से परेशान हूँ #2576,Hindi,sadness,high,9
12578,मैं अपने काम से परेशान हूँ #2577,Hindi,joy,low,3
12579,मुझे अपने एग्जाम की चिंता है #2578,Hindi,joy,medium,4
12580,मैं आज बहुत शांत महसूस कर रहा हूँ #2579,Hindi,fear,low,3
12581,आज मुझे बहुत शांति महसूस हो रही है #2580,Hindi,stress,high,10
12582,मुझे आज बहुत खुशी हो रही है #2581,Hindi,stress,high,8
12583,इस खबर से मैं चौंक गया #2582,Hindi,surprise,medium,4
12584,मैं अपने काम से परेशान हूँ #2583,Hindi,surprise,high,7
12585,मैं कल के लिए उत्साहित हूँ #2584,Hindi,anger,low,1
12586,मुझे आज बहुत खुशी हो रही है #2585,Hindi,stress,low,1
12587,मैं अपने काम से परेशान हूँ #2586,Hindi,fear,medium,5
12588,मुझे बहुत गुस्सा आ रहा है #2587,Hindi,sadness,high,7
12589,मुझे बहुत गुस्सा आ रहा है #2588,Hindi,sadness,high,7
12590,मैं अपने काम से परेशान हूँ #2589,Hindi,joy,medium,4
12591,मैं अपने काम से परेशान हूँ #2590,Hindi,stress,high,9
12592,मुझे बहुत गुस्सा आ रहा है #2591,Hindi,surprise,low,1
12593,इस खबर से मैं चौंक गया #2592,Hindi,joy,high,9
12594,मैं आज बहुत अकेला महसूस कर रहा हूँ #2593,Hindi,joy,low,0
12595,मुझे बहुत दबाव महसूस हो रहा है #2594,Hindi,neutral,low,1
12596,मैं कल के लिए उत्साहित हूँ #2595,Hindi,fear,high,9
12597,मुझे आज बहुत खुशी हो रही है #2596,Hindi,sadness,high,9
12598,मुझे बहुत तनाव हो रहा है #2597,Hindi,joy,medium,5
12599,मुझे आज बहुत खुशी हो रही है #2598,Hindi,surprise,high,9
12600,मैं अपने भविष्य को लेकर चिंतित हूँ #2599,Hindi,fear,low,0
12601,मुझे बहुत दबाव महसूस हो रहा है #2600,Hindi,surprise,low,2
12602,मैं आज बहुत अकेला महसूस कर रहा हूँ #2601,Hindi,surprise,low,0
12603,मुझे बहुत तनाव हो रहा है #2602,Hindi,anger,low,0
12604,मैं अपने भविष्य को लेकर चिंतित हूँ #2603,Hindi,fear,low,0
12605,मैं अपने काम से परेशान हूँ #2604,Hindi,joy,high,10
12606,मैं आज बहुत अकेला महसूस कर रहा हूँ #2605,Hindi,sadness,high,9
12607,मैं आज बहुत अकेला महसूस कर रहा हूँ #2606,Hindi,surprise,high,9
12608,मैं आज बहुत अकेला महसूस कर रहा हूँ #2607,Hindi,stress,medium,6
12609,मैं अपने काम से परेशान हूँ #2608,Hindi,joy,low,0
12610,मुझे बहुत गुस्सा आ रहा है #2609,Hindi,stress,high,7
12611,मुझे बहुत गुस्सा आ रहा है #2610,Hindi,stress,low,2
12612,मुझे अपने एग्जाम की चिंता है #2611,Hindi,fear,low,2
12613,मुझे आज बहुत खुशी हो रही है #2612,Hindi,anger,high,7
12614,मैं आज बहुत अकेला महसूस कर रहा हूँ #2613,Hindi,joy,medium,5
12615,मुझे बहुत गुस्सा आ रहा है #2614,Hindi,stress,high,8
12616,मैं अपने काम से परेशान हूँ #2615,Hindi,stress,low,0
12617,मुझे बहुत दबाव महसूस हो रहा है #2616,Hindi,surprise,high,8
12618,मुझे बहुत गुस्सा आ रहा है #2617,Hindi,sadness,high,8
12619,इस खबर से मैं चौंक गया #2618,Hindi,anger,low,1
12620,मुझे आज बहुत खुशी हो रही है #2619,Hindi,sadness,high,10
12621,आज मुझे बहुत शांति महसूस हो रही है #2620,Hindi,neutral,low,1
12622,मुझे अपने एग्जाम की चिंता है #2621,Hindi,stress,high,10
12623,मुझे बहुत दबाव महसूस हो रहा है #2622,Hindi,neutral,high,7
12624,मुझे आज बहुत खुशी हो रही है #2623,Hindi,surprise,low,1
12625,मुझे आज बहुत खुशी हो रही है #2624,Hindi,sadness,medium,6
12626,मुझे बहुत गुस्सा आ रहा है #2625,Hindi,joy,medium,4
12627,मुझे अपने एग्जाम की चिंता है #2626,Hindi,sadness,medium,5
12628,मुझे बहुत गुस्सा आ रहा है #2627,Hindi,sadness,high,8
12629,इस खबर से मैं चौंक गया #2628,Hindi,fear,medium,4
12630,मुझे अपने एग्जाम की चिंता है #2629,Hindi,stress,low,0
12631,मैं आज बहुत शांत महसूस कर रहा हूँ #2630,Hindi,sadness,high,8
12632,मैं आज बहुत शांत महसूस कर रहा हूँ #2631,Hindi,fear,low,2
12633,मुझे बहुत दबाव महसूस हो रहा है #2632,Hindi,fear,high,7
12634,मैं कल के लिए उत्साहित हूँ #2633,Hindi,surprise,high,10
12635,मैं अपने काम से परेशान हूँ #2634,Hindi,neutral,low,2
12636,इस खबर से मैं चौंक गया #2635,Hindi,surprise,high,7
12637,इस खबर से मैं चौंक गया #2636,Hindi,neutral,high,9
12638,आज मुझे बहुत शांति महसूस हो रही है #2637,Hindi,fear,low,1
12639,मुझे बहुत गुस्सा आ रहा है #2638,Hindi,stress,medium,4
12640,मुझे अपने एग्जाम की चिंता है #2639,Hindi,neutral,low,1
12641,मैं अपने काम से परेशान हूँ #2640,Hindi,joy,low,2
12642,आज मुझे बहुत शांति महसूस हो रही है #2641,Hindi,surprise,medium,5
12643,मैं अपने काम से परेशान हूँ #2642,Hindi,surprise,low,1
12644,मुझे आज बहुत खुशी हो रही है #2643,Hindi,stress,high,10
12645,मुझे बहुत गुस्सा आ रहा है #2644,Hindi,neutral,medium,6
12646,इस खबर से मैं चौंक गया #2645,Hindi,stress,low,0
12647,मैं आज बहुत अकेला महसूस कर रहा हूँ #2646,Hindi,stress,medium,6
12648,मैं आज बहुत अकेला महसूस कर रहा हूँ #2647,Hindi,fear,low,1
12649,मुझे बहुत तनाव हो रहा है #2648,Hindi,sadness,high,9
12650,मैं कल के लिए उत्साहित हूँ #2649,Hindi,stress,low,1
12651,मुझे अपने एग्जाम की चिंता है #2650,Hindi,surprise,medium,5
12652,मैं आज बहुत अकेला महसूस कर रहा हूँ #2651,Hindi,anger,medium,6
12653,मुझे आज बहुत खुशी हो रही है #2652,Hindi,anger,low,1
12654,आज मुझे बहुत शांति महसूस हो रही है #2653,Hindi,joy,high,10
12655,मुझे बहुत दबाव महसूस हो रहा है #2654,Hindi,surprise,high,8
12656,मैं अपने काम से परेशान हूँ #2655,Hindi,neutral,high,9
12657,मुझे आज बहुत खुशी हो रही है #2656,Hindi,sadness,medium,5
12658,आज मुझे बहुत शांति महसूस हो रही है #2657,Hindi,sadness,high,9
12659,इस खबर से मैं चौंक गया #2658,Hindi,anger,low,0
12660,मैं अपने काम से परेशान हूँ #2659,Hindi,anger,high,9
12661,मैं अपने काम से परेशान हूँ #2660,Hindi,sadness,low,2
12662,मुझे बहुत तनाव हो रहा है #2661,Hindi,anger,medium,6
12663,मुझे बहुत गुस्सा आ रहा है #2662,Hindi,joy,low,2
12664,इस खबर से मैं चौंक गया #2663,Hindi,stress,low,1
12665,मैं कल के लिए उत्साहित हूँ #2664,Hindi,anger,medium,4
12666,मैं कल के लिए उत्साहित हूँ #2665,Hindi,surprise,low,3
12667,मुझे बहुत तनाव हो रहा है #2666,Hindi,sadness,medium,6
12668,मुझे अपने एग्जाम की चिंता है #2667,Hindi,anger,high,9
12669,मैं आज बहुत शांत महसूस कर रहा हूँ #2668,Hindi,joy,low,2
12670,मुझे अपने एग्जाम की चिंता है #2669,Hindi,joy,low,3
12671,मुझे बहुत तनाव हो रहा है #2670,Hindi,anger,high,8
12672,मुझे अपने एग्जाम की चिंता है #2671,Hindi,anger,low,3
12673,मैं कल के लिए उत्साहित हूँ #2672,Hindi,anger,high,9
12674,मुझे बहुत गुस्सा आ रहा है #2673,Hindi,stress,low,3
12675,मुझे आज बहुत खुशी हो रही है #2674,Hindi,neutral,low,3
12676,मुझे अपने एग्जाम की चिंता है #2675,Hindi,joy,medium,5
12677,आज मुझे बहुत शांति महसूस हो रही है #2676,Hindi,sadness,medium,6
12678,मुझे बहुत दबाव महसूस हो रहा है #2677,Hindi,sadness,medium,5
12679,आज मुझे बहुत शांति महसूस हो रही है #2678,Hindi,fear,low,0
12680,मुझे बहुत गुस्सा आ रहा है #2679,Hindi,sadness,low,0
12681,मुझे आज बहुत खुशी हो रही है #2680,Hindi,surprise,high,10
12682,मैं आज बहुत अकेला महसूस कर रहा हूँ #2681,Hindi,surprise,low,0
12683,मुझे आज बहुत खुशी हो रही है #2682,Hindi,sadness,high,8
12684,मुझे बहुत तनाव हो रहा है #2683,Hindi,surprise,low,3
12685,मुझे बहुत तनाव हो रहा है #2684,Hindi,neutral,high,7
12686,आज मुझे बहुत शांति महसूस हो रही है #2685,Hindi,surprise,low,0
12687,मुझे बहुत दबाव महसूस हो रहा है #2686,Hindi,sadness,low,2
12688,मुझे आज बहुत खुशी हो रही है #2687,Hindi,stress,medium,5
12689,मुझे बहुत तनाव हो रहा है #2688,Hindi,fear,low,3
12690,आज मुझे बहुत शांति महसूस हो रही है #2689,Hindi,neutral,low,1
12691,मुझे आज बहुत खुशी हो रही है #2690,Hindi,fear,medium,6
12692,मुझे बहुत दबाव महसूस हो रहा है #2691,Hindi,stress,low,0
12693,मुझे आज बहुत खुशी हो रही है #2692,Hindi,joy,low,1
12694,मुझे बहुत गुस्सा आ रहा है #2693,Hindi,stress,high,8
12695,मुझे बहुत तनाव हो रहा है #2694,Hindi,neutral,medium,5
12696,मुझे आज बहुत खुशी हो रही है #2695,Hindi,fear,high,8
12697,मुझे बहुत तनाव हो रहा है #2696,Hindi,neutral,low,2
12698,इस खबर से मैं चौंक गया #2697,Hindi,anger,medium,4
12699,मैं आज बहुत अकेला महसूस कर रहा हूँ #2698,Hindi,surprise,medium,5
12700,आज मुझे बहुत शांति महसूस हो रही है #2699,Hindi,surprise,high,10
12701,मैं आज बहुत शांत महसूस कर रहा हूँ #2700,Hindi,fear,low,3
12702,मुझे आज बहुत खुशी हो रही है #2701,Hindi,surprise,low,0
12703,मैं आज बहुत शांत महसूस कर रहा हूँ #2702,Hindi,fear,high,10
12704,मैं आज बहुत अकेला महसूस कर रहा हूँ #2703,Hindi,sadness,high,9
12705,मुझे बहुत दबाव महसूस हो रहा है #2704,Hindi,fear,medium,5
12706,मैं कल के लिए उत्साहित हूँ #2705,Hindi,joy,medium,4
12707,मैं आज बहुत अकेला महसूस कर रहा हूँ #2706,Hindi,fear,low,3
12708,मैं अपने भविष्य को लेकर चिंतित हूँ #2707,Hindi,neutral,high,10
12709,मुझे अपने एग्जाम की चिंता है #2708,Hindi,anger,low,1
12710,मुझे बहुत तनाव हो रहा है #2709,Hindi,neutral,medium,6
12711,इस खबर से मैं चौंक गया #2710,Hindi,joy,low,1
12712,आज मुझे बहुत शांति महसूस हो रही है #2711,Hindi,stress,high,10
12713,मैं कल के लिए उत्साहित हूँ #2712,Hindi,surprise,low,0
12714,मैं अपने भविष्य को लेकर चिंतित हूँ #2713,Hindi,fear,medium,4
